recipe_id,recipe_name,recipe_slug,category,meal_type,image_url,generated_at
"cmifeoib301yqkgebyrpyoig7","Black Bean Tacos","black-bean-tacos","Vegetarian & Plant-Based","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoib301yqkgebyrpyoig7.jpg","2025-11-26T03:34:35.450Z"
"cmifeody701gakgebzc1wgs5p","Blackened Tilapia Tacos","blackened-tilapia-tacos","Seafood","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeody701gakgebzc1wgs5p.jpg","2025-11-26T03:34:47.556Z"
"cmifeooby02p3kgeb6w00831a","Broiled Lobster Tail with Herb Butter","lobster-tail-with-garlic-butter","Date Night","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeooby02p3kgeb6w00831a.jpg","2025-11-26T03:34:58.745Z"
"cmifeob6z014zkgebjqfybn3j","Buddha Bowl","buddha-bowl","Bowls","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeob6z014zkgebjqfybn3j.jpg","2025-11-26T03:35:09.647Z"
"cmifeobo50171kgeb8ejoxbjh","Burrito Bowl","burrito-bowl","Bowls","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeobo50171kgeb8ejoxbjh.jpg","2025-11-26T03:35:20.903Z"
"cmifeolpd02cekgebxoe7huvf","Butter Chicken (Lightened)","butter-chicken-lightened","Indian Cuisine","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeolpd02cekgebxoe7huvf.jpg","2025-11-26T03:35:31.626Z"
"cmifeo8uy00wokgeb9lw3zg5e","Butternut Squash Soup","butternut-squash-soup","Soups","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo8uy00wokgeb9lw3zg5e.jpg","2025-11-26T03:35:42.685Z"
"cmifeo9vw010skgebz5iugdzx","Caprese Panini","caprese-panini","Sandwiches & Wraps","LUNCH","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo9vw010skgebz5iugdzx.jpg","2025-11-26T03:35:53.782Z"
"cmifeoth503aukgeb8wrvuki9","Caprese Skewers","caprese-skewers","Savory Snacks","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoth503aukgeb8wrvuki9.jpg","2025-11-26T03:36:05.431Z"
"cmifeoja0022lkgebgm166jef","Cauliflower Steaks with Chimichurri","cauliflower-steaks-chimichurri","Vegetarian & Plant-Based","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoja0022lkgebgm166jef.jpg","2025-11-26T03:36:17.264Z"
"cmifeolja02bdkgeb8fpl8zct","Chana Masala (Chickpea Curry)","chana-masala","Indian Cuisine","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeolja02bdkgeb8fpl8zct.jpg","2025-11-26T03:36:28.719Z"
"cmifeo4g700fqkgebbx2kiyjh","Chia Pudding with Mango","chia-pudding-with-mango","Yogurt & Parfaits","BREAKFAST","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeo4g700fqkgebbx2kiyjh.jpg","2025-11-26T03:36:40.535Z"
"cmifeou0p03cykgebm6jlakg3","Chia Seed Pudding","chia-seed-pudding-snack","Sweet Treats","SNACK","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeou0p03cykgebm6jlakg3.jpg","2025-11-26T03:36:52.032Z"
"cmifeoh5n01tpkgebkmfdt7is","Chicken Cacciatore","chicken-cacciatore","Poultry","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeoh5n01tpkgebkmfdt7is.jpg","2025-11-26T03:37:03.622Z"
"cmifeomc602fpkgebk8u9dj6j","Chicken Enchiladas Verdes","chicken-enchiladas-verdes","Mexican/Latin","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeomc602fpkgebk8u9dj6j.jpg","2025-11-26T03:37:14.893Z"
"cmifeop6m02stkgebixqs003a","Chicken Fried Rice (Brown Rice)","chicken-fried-rice","Family Favorites","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeop6m02stkgebixqs003a.jpg","2025-11-26T03:37:25.851Z"
"cmifeognj01rlkgeb0n346lxn","Chicken Marsala with Mushrooms","chicken-marsala","Poultry","DINNER","https://eje1nkkrfriueajy.public.blob.vercel-storage.com/recipes/cmifeognj01rlkgeb0n346lxn.jpg","2025-11-26T03:37:36.706Z"
